Message: The controller for path '/api' was not found or does not implement IController., Type System.Web.HttpException,Source: System.Web.Mvc
Message: The controller for path '/brands' was not found or does not implement IController., Type System.Web.HttpException,Source: System.Web.Mvc
Message: A public action method 'About' was not found on controller 'Revision_1.Controllers.HomeController'., Type System.Web.HttpException,Source: System.Web.Mvc
Message: The controller for path '/bundles/jquery' was not found or does not implement IController., Type System.Web.HttpException,Source: System.Web.Mvc
Message: The controller for path '/bundles/bootstrap' was not found or does not implement IController., Type System.Web.HttpException,Source: System.Web.Mvc
Message: The controller for path '/Content/css' was not found or does not implement IController., Type System.Web.HttpException,Source: System.Web.Mvc
Message: The controller for path '/bundles/modernizr' was not found or does not implement IController., Type System.Web.HttpException,Source: System.Web.Mvc
Message: The controller for path '/bundles/jquery' was not found or does not implement IController., Type System.Web.HttpException,Source: System.Web.Mvc
Message: The controller for path '/bundles/bootstrap' was not found or does not implement IController., Type System.Web.HttpException,Source: System.Web.Mvc
Message: The controller for path '/Content/css' was not found or does not implement IController., Type System.Web.HttpException,Source: System.Web.Mvc
Message: The controller for path '/bundles/bootstrap' was not found or does not implement IController., Type System.Web.HttpException,Source: System.Web.Mvc
Message: The controller for path '/bundles/jquery' was not found or does not implement IController., Type System.Web.HttpException,Source: System.Web.Mvc
Message: The controller for path '/bundles/modernizr' was not found or does not implement IController., Type System.Web.HttpException,Source: System.Web.Mvc
